unix,date,symbol,open,high,low,close,Volume DOGE,Volume USDT,tradecount
1.64989E+12,14/4/2022 0:00,DOGE/USDT,0.14,0.1409,0.1396,0.1405,12959507,1816866.517,2533
1.64989E+12,13/4/2022 23:00,DOGE/USDT,0.1403,0.1405,0.1398,0.1399,16264371,2278005.911,2197
1.64989E+12,13/4/2022 22:00,DOGE/USDT,0.1398,0.1404,0.1394,0.1403,16555757,2319008.985,2673
1.64988E+12,13/4/2022 21:00,DOGE/USDT,0.1399,0.1403,0.1394,0.1398,11572599,1618606.617,2368
1.64988E+12,13/4/2022 20:00,DOGE/USDT,0.1398,0.1402,0.1392,0.14,17767693,2483104.272,2878
1.64988E+12,13/4/2022 19:00,DOGE/USDT,0.1407,0.1416,0.1397,0.1397,28735429,4041328.741,4991
1.64987E+12,13/4/2022 18:00,DOGE/USDT,0.1395,0.141,0.1393,0.1408,48683566,6828526.157,6153
1.64987E+12,13/4/2022 17:00,DOGE/USDT,0.1396,0.1399,0.1391,0.1396,26383227,3679904.633,3789
1.64987E+12,13/4/2022 16:00,DOGE/USDT,0.1399,0.1408,0.1394,0.1396,38348363,5373002.847,6059
1.64986E+12,13/4/2022 15:00,DOGE/USDT,0.1397,0.141,0.1395,0.1398,55422931,7779049.419,8776
1.64986E+12,13/4/2022 14:00,DOGE/USDT,0.1399,0.1407,0.1383,0.1397,73431553,10254770.36,12207
1.64985E+12,13/4/2022 13:00,DOGE/USDT,0.137,0.1402,0.1362,0.1398,98499167,13607105.18,18402
1.64985E+12,13/4/2022 12:00,DOGE/USDT,0.1377,0.1384,0.1367,0.137,33048132,4554849.755,7762
1.64985E+12,13/4/2022 11:00,DOGE/USDT,0.1378,0.1389,0.1375,0.1377,23416783,3236846.055,4941
1.64984E+12,13/4/2022 10:00,DOGE/USDT,0.1398,0.1402,0.1372,0.1378,59594977,8239393.943,10482
1.64984E+12,13/4/2022 9:00,DOGE/USDT,0.1408,0.1412,0.1394,0.1397,30080663,4220391.342,5027
1.64984E+12,13/4/2022 8:00,DOGE/USDT,0.1407,0.1413,0.1401,0.1408,26293194,3700584.943,4532
1.64983E+12,13/4/2022 7:00,DOGE/USDT,0.1401,0.1408,0.1395,0.1407,35466619,4972005.993,5087
1.64983E+12,13/4/2022 6:00,DOGE/USDT,0.1413,0.1415,0.1398,0.1402,27899979,3925794.778,4372
1.64983E+12,13/4/2022 5:00,DOGE/USDT,0.1415,0.1416,0.1403,0.1413,22140434,3120565.428,3742
1.64982E+12,13/4/2022 4:00,DOGE/USDT,0.1406,0.1416,0.1398,0.1415,23490594,3301295.655,4035
1.64982E+12,13/4/2022 3:00,DOGE/USDT,0.1404,0.1413,0.14,0.1405,32760899,4612433.182,4791
1.64982E+12,13/4/2022 2:00,DOGE/USDT,0.1416,0.142,0.1393,0.1404,77038342,10824952.74,11778
1.64981E+12,13/4/2022 1:00,DOGE/USDT,0.138,0.1435,0.1371,0.1417,118626734,16694351.22,21666
1.64981E+12,13/4/2022 0:00,DOGE/USDT,0.138,0.1392,0.1376,0.1381,41365127,5727347.575,8186
1.6498E+12,12/4/2022 23:00,DOGE/USDT,0.1368,0.1385,0.1367,0.138,39506448,5441006.618,9332
1.6498E+12,12/4/2022 22:00,DOGE/USDT,0.1373,0.1374,0.1355,0.1368,40656743,5542893.756,7358
1.6498E+12,12/4/2022 21:00,DOGE/USDT,0.1356,0.1377,0.1351,0.1374,46865354,6396234.545,7540
1.64979E+12,12/4/2022 20:00,DOGE/USDT,0.1352,0.1371,0.1349,0.1357,50492309,6867279,6647
1.64979E+12,12/4/2022 19:00,DOGE/USDT,0.1364,0.1368,0.1346,0.1352,61711898,8363800.207,10666
1.64979E+12,12/4/2022 18:00,DOGE/USDT,0.1375,0.1384,0.1361,0.1363,82358655,11265239.36,11471
1.64978E+12,12/4/2022 17:00,DOGE/USDT,0.1395,0.1398,0.1367,0.1376,59423568,8228229.171,10615
1.64978E+12,12/4/2022 16:00,DOGE/USDT,0.1397,0.1405,0.1385,0.1395,56522314,7878891.649,11540
1.64978E+12,12/4/2022 15:00,DOGE/USDT,0.1389,0.1406,0.1385,0.1397,61783924,8623871.705,10046
1.64977E+12,12/4/2022 14:00,DOGE/USDT,0.1426,0.1428,0.1375,0.1389,148066590,20672735.96,21931
1.64977E+12,12/4/2022 13:00,DOGE/USDT,0.1436,0.1446,0.1421,0.1426,126272064,18095666.12,19343
1.64976E+12,12/4/2022 12:00,DOGE/USDT,0.142,0.1439,0.1401,0.1437,126237661,17924994.02,20863
1.64976E+12,12/4/2022 11:00,DOGE/USDT,0.1392,0.1427,0.1389,0.142,97807175,13843252.66,17735
1.64976E+12,12/4/2022 10:00,DOGE/USDT,0.1388,0.1399,0.1382,0.1392,44379796,6170483.812,5647
1.64975E+12,12/4/2022 9:00,DOGE/USDT,0.1384,0.139,0.1378,0.1388,27697357,3834628.022,6808
1.64975E+12,12/4/2022 8:00,DOGE/USDT,0.139,0.1399,0.1385,0.1385,33611186,4675208.439,6854
1.64975E+12,12/4/2022 7:00,DOGE/USDT,0.1385,0.1395,0.138,0.139,31728587,4405887.098,5087
1.64974E+12,12/4/2022 6:00,DOGE/USDT,0.1392,0.1395,0.1376,0.1386,51318608,7107294.722,8041
1.64974E+12,12/4/2022 5:00,DOGE/USDT,0.137,0.1395,0.1367,0.1392,39866255,5506987.986,8317
1.64974E+12,12/4/2022 4:00,DOGE/USDT,0.1359,0.137,0.1353,0.137,28828340,3929272.314,6117
1.64973E+12,12/4/2022 3:00,DOGE/USDT,0.1348,0.1361,0.1346,0.1359,32657820,4420727.448,4340
1.64973E+12,12/4/2022 2:00,DOGE/USDT,0.1352,0.1359,0.134,0.1348,37243196,5017621.765,6279
1.64973E+12,12/4/2022 1:00,DOGE/USDT,0.1346,0.136,0.1339,0.1352,38828312,5251472.178,6808
1.64972E+12,12/4/2022 0:00,DOGE/USDT,0.134,0.1357,0.1332,0.1345,69103905,9299995.692,10260
1.64972E+12,11/4/2022 23:00,DOGE/USDT,0.1357,0.1363,0.1337,0.1341,46289920,6247431.569,7571
1.64971E+12,11/4/2022 22:00,DOGE/USDT,0.1336,0.1367,0.1329,0.1357,103247117,13967869.35,19120
1.64971E+12,11/4/2022 21:00,DOGE/USDT,0.1371,0.1377,0.1333,0.1336,96207100,13008511.65,18796
1.64971E+12,11/4/2022 20:00,DOGE/USDT,0.1383,0.1387,0.1363,0.1372,86406756,11878821.01,12186
1.6497E+12,11/4/2022 19:00,DOGE/USDT,0.1407,0.1411,0.1372,0.1384,98689174,13654453.01,12500
1.6497E+12,11/4/2022 18:00,DOGE/USDT,0.1405,0.1408,0.1393,0.1406,41359492,5795389.206,7220
1.6497E+12,11/4/2022 17:00,DOGE/USDT,0.1403,0.1411,0.139,0.1405,65538711,9180289.381,8220
1.64969E+12,11/4/2022 16:00,DOGE/USDT,0.1399,0.1409,0.1388,0.1403,55705965,7793211.23,7994
1.64969E+12,11/4/2022 15:00,DOGE/USDT,0.1403,0.1412,0.1396,0.1399,49007664,6885018.56,10456
1.64969E+12,11/4/2022 14:00,DOGE/USDT,0.1416,0.1419,0.1399,0.1402,53626740,7550524.707,8777
1.64968E+12,11/4/2022 13:00,DOGE/USDT,0.1415,0.1417,0.1394,0.1416,99860540,14053712.2,14583
1.64968E+12,11/4/2022 12:00,DOGE/USDT,0.1405,0.1427,0.1395,0.1415,124247302,17532568.69,16467
1.64967E+12,11/4/2022 11:00,DOGE/USDT,0.1426,0.1426,0.1387,0.1405,170780399,23990166.98,24671
1.64967E+12,11/4/2022 10:00,DOGE/USDT,0.1415,0.1429,0.141,0.1426,176703936,25097389.43,22722
1.64967E+12,11/4/2022 9:00,DOGE/USDT,0.1456,0.1458,0.1414,0.1415,154116624,22136302.43,23437
1.64966E+12,11/4/2022 8:00,DOGE/USDT,0.1459,0.1466,0.1447,0.1455,49349349,7186045.713,8262
1.64966E+12,11/4/2022 7:00,DOGE/USDT,0.1459,0.1463,0.1453,0.146,38847795,5665289.156,6309
1.64966E+12,11/4/2022 6:00,DOGE/USDT,0.1473,0.1474,0.145,0.1458,68965495,10063364.62,10630
1.64965E+12,11/4/2022 5:00,DOGE/USDT,0.1473,0.1477,0.1466,0.1473,33574463,4941471.018,7215
1.64965E+12,11/4/2022 4:00,DOGE/USDT,0.1463,0.1474,0.146,0.1472,54088418,7942322.23,9088
1.64965E+12,11/4/2022 3:00,DOGE/USDT,0.1467,0.147,0.1447,0.1463,92479683,13506485.34,13908
1.64964E+12,11/4/2022 2:00,DOGE/USDT,0.1492,0.1501,0.1457,0.1467,107906546,15959865,20300
1.64964E+12,11/4/2022 1:00,DOGE/USDT,0.1504,0.1515,0.1489,0.1493,75774832,11385884.75,23568
1.64964E+12,11/4/2022 0:00,DOGE/USDT,0.1482,0.1507,0.147,0.1504,135170518,20129123.35,22976
1.64963E+12,10/4/2022 23:00,DOGE/USDT,0.1507,0.1514,0.1472,0.1482,138150898,20690977.79,19919
1.64963E+12,10/4/2022 22:00,DOGE/USDT,0.1526,0.1535,0.1489,0.1508,190589360,28713752.98,35030
1.64962E+12,10/4/2022 21:00,DOGE/USDT,0.1545,0.1554,0.1522,0.1525,55428291,8542658.127,10300
1.64962E+12,10/4/2022 20:00,DOGE/USDT,0.1566,0.1574,0.154,0.1544,90424931,14056373.4,16474
1.64962E+12,10/4/2022 19:00,DOGE/USDT,0.1547,0.1567,0.1546,0.1566,41130312,6402503.805,8180
1.64961E+12,10/4/2022 18:00,DOGE/USDT,0.1551,0.1577,0.1546,0.1546,114966642,17961474.17,20575
1.64961E+12,10/4/2022 17:00,DOGE/USDT,0.1531,0.1561,0.153,0.1551,129674524,20058191.45,24663
1.64961E+12,10/4/2022 16:00,DOGE/USDT,0.1537,0.1541,0.1524,0.1531,95938821,14693199.39,17816
1.6496E+12,10/4/2022 15:00,DOGE/USDT,0.1557,0.1565,0.1533,0.1537,191701081,29598809.79,29244
1.6496E+12,10/4/2022 14:00,DOGE/USDT,0.1521,0.1578,0.1517,0.1557,368414844,57337465.57,62113
1.6496E+12,10/4/2022 13:00,DOGE/USDT,0.1492,0.1526,0.1485,0.1521,150513356,22720854.06,20077
1.64959E+12,10/4/2022 12:00,DOGE/USDT,0.1496,0.1506,0.1486,0.1492,75872304,11346420.82,12200
1.64959E+12,10/4/2022 11:00,DOGE/USDT,0.1492,0.1498,0.1485,0.1496,34322342,5121906.19,8292
1.64958E+12,10/4/2022 10:00,DOGE/USDT,0.1482,0.1493,0.147,0.1493,63356924,9395966.95,11428
1.64958E+12,10/4/2022 9:00,DOGE/USDT,0.1501,0.1506,0.1475,0.1482,86225378,12824858.69,12508
1.64958E+12,10/4/2022 8:00,DOGE/USDT,0.1487,0.1506,0.1476,0.15,66403367,9906766.875,10046
1.64957E+12,10/4/2022 7:00,DOGE/USDT,0.1488,0.149,0.1473,0.1487,33607481,4977955.039,5785
1.64957E+12,10/4/2022 6:00,DOGE/USDT,0.1474,0.1488,0.147,0.1488,39763585,5880029.282,6418
1.64957E+12,10/4/2022 5:00,DOGE/USDT,0.149,0.1491,0.1473,0.1474,54509400,8071636.665,8454
1.64956E+12,10/4/2022 4:00,DOGE/USDT,0.1498,0.1501,0.1484,0.149,46069687,6872406.054,7538
1.64956E+12,10/4/2022 3:00,DOGE/USDT,0.15,0.152,0.1494,0.1498,105482831,15890198.33,16392
1.64956E+12,10/4/2022 2:00,DOGE/USDT,0.1479,0.1508,0.1478,0.1501,81666854,12185713.4,10819
1.64955E+12,10/4/2022 1:00,DOGE/USDT,0.1468,0.154,0.1459,0.148,214321169,31834291.46,33737
1.64955E+12,10/4/2022 0:00,DOGE/USDT,0.1442,0.1509,0.1435,0.1468,184847167,27254677.22,32075
1.64955E+12,9/4/2022 23:00,DOGE/USDT,0.1436,0.1446,0.1432,0.1442,25770210,3709464.422,4119
1.64954E+12,9/4/2022 22:00,DOGE/USDT,0.1435,0.1437,0.1434,0.1436,6618994,950341.2979,2260
1.64954E+12,9/4/2022 21:00,DOGE/USDT,0.1427,0.1439,0.1427,0.1434,6687150,957429.8292,2580
1.64953E+12,9/4/2022 20:00,DOGE/USDT,0.143,0.1438,0.1426,0.1426,10412792,1492044.963,2098
1.64953E+12,9/4/2022 19:00,DOGE/USDT,0.1429,0.1436,0.1425,0.143,17349557,2482626.622,2371
1.64953E+12,9/4/2022 18:00,DOGE/USDT,0.1439,0.144,0.1428,0.1429,16404160,2349784.081,3582
1.64952E+12,9/4/2022 17:00,DOGE/USDT,0.1435,0.1444,0.1431,0.1438,20727976,2982485.428,3428
1.64952E+12,9/4/2022 16:00,DOGE/USDT,0.1428,0.144,0.1426,0.1434,21006353,3012736.037,3606
1.64952E+12,9/4/2022 15:00,DOGE/USDT,0.1438,0.144,0.1423,0.1427,35427057,5065760.095,7039
1.64951E+12,9/4/2022 14:00,DOGE/USDT,0.1434,0.1439,0.1427,0.1439,28043070,4017083.332,3902
1.64951E+12,9/4/2022 13:00,DOGE/USDT,0.1443,0.1444,0.1432,0.1435,19142944,2752016.974,3120
1.64951E+12,9/4/2022 12:00,DOGE/USDT,0.143,0.1445,0.1424,0.1443,48386414,6946096.709,5869
1.6495E+12,9/4/2022 11:00,DOGE/USDT,0.1431,0.1435,0.1427,0.143,19268156,2755874.27,3794
1.6495E+12,9/4/2022 10:00,DOGE/USDT,0.1431,0.1433,0.1415,0.1431,49556057,7056017.074,7169
1.64949E+12,9/4/2022 9:00,DOGE/USDT,0.1432,0.1435,0.1427,0.1431,16145160,2311074.904,3133
1.64949E+12,9/4/2022 8:00,DOGE/USDT,0.1436,0.1439,0.1427,0.1432,19687841,2818141.057,4023
1.64949E+12,9/4/2022 7:00,DOGE/USDT,0.1426,0.1438,0.1422,0.1437,16613655,2373847.641,3215
1.64948E+12,9/4/2022 6:00,DOGE/USDT,0.1431,0.1431,0.1418,0.1426,23023092,3280494.793,6199
1.64948E+12,9/4/2022 5:00,DOGE/USDT,0.1422,0.1432,0.142,0.1431,30835130,4398035.376,4697
1.64948E+12,9/4/2022 4:00,DOGE/USDT,0.1423,0.1431,0.1418,0.1421,22527651,3209398.976,4290
1.64947E+12,9/4/2022 3:00,DOGE/USDT,0.141,0.1425,0.1405,0.1422,33369746,4727432.646,5424
1.64947E+12,9/4/2022 2:00,DOGE/USDT,0.1428,0.143,0.1406,0.141,47843268,6774854.912,8903
1.64947E+12,9/4/2022 1:00,DOGE/USDT,0.1432,0.1433,0.1419,0.1428,25321717,3610096.822,4209
1.64946E+12,9/4/2022 0:00,DOGE/USDT,0.1423,0.1435,0.1419,0.1432,38538844,5500798.419,5433
1.64946E+12,8/4/2022 23:00,DOGE/USDT,0.1427,0.1427,0.1404,0.1424,76884118,10886680.05,12265
1.64946E+12,8/4/2022 22:00,DOGE/USDT,0.1435,0.144,0.142,0.1427,92200201,13161358.38,16514
1.64945E+12,8/4/2022 21:00,DOGE/USDT,0.1455,0.146,0.1431,0.1435,23015669,3330927.49,5886
1.64945E+12,8/4/2022 20:00,DOGE/USDT,0.1455,0.1463,0.1444,0.1456,39203362,5695909.449,5596
1.64944E+12,8/4/2022 19:00,DOGE/USDT,0.1463,0.1469,0.1449,0.1455,47515717,6930002.167,7599
1.64944E+12,8/4/2022 18:00,DOGE/USDT,0.1452,0.1464,0.1431,0.1463,112905090,16355315.04,14565
1.64944E+12,8/4/2022 17:00,DOGE/USDT,0.1461,0.1464,0.1437,0.1453,107298138,15530259.25,13999
1.64943E+12,8/4/2022 16:00,DOGE/USDT,0.1481,0.1487,0.1461,0.1461,74037954,10907406.86,8888
1.64943E+12,8/4/2022 15:00,DOGE/USDT,0.1478,0.1502,0.1477,0.1482,123354684,18339772.2,15996
1.64943E+12,8/4/2022 14:00,DOGE/USDT,0.1442,0.1484,0.1441,0.1479,114917945,16859836.16,16332
1.64942E+12,8/4/2022 13:00,DOGE/USDT,0.1453,0.1459,0.1431,0.1443,148024416,21338066.02,20813
1.64942E+12,8/4/2022 12:00,DOGE/USDT,0.1453,0.1468,0.1447,0.1454,84341689,12303418.68,9684
1.64942E+12,8/4/2022 11:00,DOGE/USDT,0.1481,0.1482,0.1445,0.1452,126681607,18528564.13,16368
1.64941E+12,8/4/2022 10:00,DOGE/USDT,0.1494,0.1498,0.1476,0.148,72305732,10738238.17,9436
1.64941E+12,8/4/2022 9:00,DOGE/USDT,0.1503,0.1511,0.1487,0.1494,62882549,9420078.987,8550
1.6494E+12,8/4/2022 8:00,DOGE/USDT,0.1512,0.1522,0.1499,0.1503,93783431,14159013.08,12536
1.6494E+12,8/4/2022 7:00,DOGE/USDT,0.1523,0.1529,0.1488,0.1513,122160475,18409780.12,16705
1.6494E+12,8/4/2022 6:00,DOGE/USDT,0.1519,0.1534,0.1511,0.1522,95095342,14471104.74,15038
1.64939E+12,8/4/2022 5:00,DOGE/USDT,0.1507,0.1524,0.1496,0.1519,67277743,10163425.84,10549
